fonte;preco;area;local;padrao;conservacao;tem_foto;status_validacao;motivo_rejeicao
2 | Capitão Poço | Capitão Poço | Casa 3 quartos, 2 suítes, energia solar | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capitao-poco;300000;200.0;3;3;3;nao;prevalidacao;"Amostra local mais aderente, mas área precisa ser confirmada; se usar 250m², o resultado cai e pode perder Precisão III."
12 | Capanema | Santa Luzia | Casa em CAPANEMA-PA, 3 Quartos | https://pa.olx.com.br/regiao-de-belem/imoveis/casa-em-capanema-pa-3-quartos-1503884408;130000;120.0;2;2;2;nao;prevalidacao;Amostra regional forte: 3 quartos, área construída confirmada, preço baixo/médio.
14 | Capanema | Motocros | Casa 130m² Motocros | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema;110000;130.0;2;1;2;nao;prevalidacao;"Amostra simples regional; aumenta N para 9 no M1; reduz valor central, mas mantém Grau III. | Reclassificada como Padrão 1 para representar imóvel simples/inacabado/baixo padrão, com justificativa técnica no laudo."
16 | Capanema | São Pio X | Casa Capanema, São Pio X | https://pa.olx.com.br/regiao-de-belem/imoveis/casa-capanema-sao-pio-x-1388313635;300000;200.0;3;3;3;nao;prevalidacao;Amostra regional muito boa: 3 quartos, área construída confirmada, padrão normal/superior.
17 | Capanema | São Cristóvão | MF - venda casa em Capanema/PA | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema;550000;300.0;3;3;3;nao;prevalidacao;"Amostra regional superior; testar com cautela para não supervalorizar."
20 | Santa Maria do Pará | Santa Maria do Pará | Casa vendas | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/santa-maria-do-para;140000;80.0;2;2;2;nao;prevalidacao;"Amostra regional simples de 3 quartos; área inferior ao avaliando, mas útil para calibrar mercado."
23 | Nova Timboteua | Av. Barão do Rio Branco | Casa Av. Barão do Rio Branco | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/nova-timboteua;320000;200.0;3;3;3;nao;prevalidacao;"Amostra regional superior; 4 quartos e 4 banheiros, entra para capturar faixa alta."
24 | Igarapé-Açu | Igarapé-Açu | Casa 3/4 sendo uma suíte | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/igarape-acu;130000;120.0;2;2;2;nao;prevalidacao;"Amostra regional dentro do limite de 100km; simples/normal, 3 quartos."
3 | Capitão Poço | Capitão Poço | Casa ampla, 2 quartos, sendo 1 suíte | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capitao-poco;210000;250.0;2;2;2;nao;rejeitada;"Reserva/excluída do modelo principal: Reserva local: 2 quartos e área possivelmente terreno; usar só se confirmado."
15 | Capanema | Samambaia | Casa 2 quartos Samambaia | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema;260000;85.0;3;3;3;nao;rejeitada;"Reserva/excluída do modelo principal: Baixa aderência por 2 quartos e alto valor unitário; pode inflar resultado."
25 | Capanema | Centro / Travessa Veiga Cabral | Vende-se casa em Capanema - 3 quartos, 2 banheiros | https://pa.olx.com.br/regiao-de-belem/imoveis/vende-se-casa-em-capanema-1491748216;120000;172.0;2;1;3;nao;prevalidacao;Substitui a antiga amostra 6 (R$ 600.000/237m²), excluída por padrão superior. Nova amostra tem 3 quartos, 2 banheiros, área construída informada e valor compatível com padrão simples/normal. | Reclassificada como Padrão 1 para representar imóvel simples/inacabado/baixo padrão, com justificativa técnica no laudo.
26 | São Miguel do Guamá | São Miguel do Guamá | Vendo Casa no Guamá - 3 quartos | https://pa.olx.com.br/regiao-de-belem/imoveis/vendo-casa-no-guama-1499171346;280000;270.0;2;2;2;nao;prevalidacao;"Substitui a antiga amostra 17 (R$ 550.000/300m²), excluída por padrão superior. Amostra regional com 3 quartos e valor mais próximo do mercado médio; manter ressalva por ser casa de 2 pavimentos."
30 | Capanema | Centro / Almir Gabriel | Casa Capanema, Almir Gabriel | https://pa.olx.com.br/regiao-de-belem/imoveis/casa-capanema-almir-gabriel-1512812029;55000;180.0;2;1;1;sim;prevalidacao;"Nova amostra real OLX; 3 quartos, 1 banheiro, lote 9x20; confirmar se área adotada deve ser lote ou construída. | Reclassificada como Padrão 1 para representar imóvel simples/inacabado/baixo padrão, com justificativa técnica no laudo."
