fonte;preco;area;local;padrao;conservacao;tem_foto;status_validacao;motivo_rejeicao
2 | Capitão Poço | Capitão Poço | Casa 3 quartos, 2 suítes, energia solar | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capitao-poco;300000;200.0;3;3;3;sim;prevalidacao;Amostra local aderente em Capitão Poço; manter área de 200 m² conforme orientação do avaliador; padrão/conservação superiores ao avaliando, controlados pela variável Padrão.
6 | Capanema | São Pio X | Casa em Capanema com 237m² | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema;600000;237.0;3;3;3;sim;prevalidacao;Amostra regional superior em Capanema, 3 quartos, 237 m²; usar com variável Padrão para controlar padrão superior.
12 | Capanema | Santa Luzia | Casa em CAPANEMA-PA, 3 Quartos | https://pa.olx.com.br/regiao-de-belem/imoveis/casa-em-capanema-pa-3-quartos-1503884408;130000;120.0;2;2;2;sim;prevalidacao;Amostra regional com 3 quartos e área informada; compatível com padrão simples/normal.
14 | Capanema | Motocros | Vende-se ou faço negócio em outra casa nas imediações | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema;110000;130.0;2;2;2;sim;prevalidacao;Amostra regional simples/normal, 3 quartos, 130 m²; manter print da listagem OLX com preço, área e foto.
16 | Capanema | São Pio X | Casa Capanema, São Pio X | https://pa.olx.com.br/regiao-de-belem/imoveis/casa-capanema-sao-pio-x-1388313635;300000;200.0;3;3;3;sim;prevalidacao;Amostra regional superior, 3 quartos, 200 m²; útil para calibrar padrão superior.
17 | Capanema | São Cristóvão | MF - venda casa em Capanema/PA | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema;550000;300.0;3;3;3;sim;prevalidacao;Amostra regional superior, 3 quartos, 300 m²; usar com ressalva por padrão superior.
20 | Santa Maria do Pará | Santa Maria do Pará | Casa vendas | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/santa-maria-do-para;140000;80.0;2;2;2;sim;prevalidacao;Amostra regional simples de 3 quartos; área inferior ao avaliando, mas aceita no modelo com variável Área.
24 | Igarapé-Açu | Igarapé-Açu | Casa 3/4 sendo uma suíte | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/igarape-acu;130000;120.0;2;2;2;sim;prevalidacao;Amostra regional simples/normal dentro do raio de mercado ampliado; manter evidência/print da listagem.
15 | Capanema | Samambaia | Casa de 2 quartos a venda em Capanema Pa | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema;260000;85.0;3;3;3;sim;prevalidacao;Amostra regional de padrão superior/valor unitário alto; controlar por Padrão; manter somente com print da foto e dados.
25 | Capanema | Centro / Travessa Veiga Cabral | Vende-se casa em Capanema - 3 quartos, 2 banheiros | https://pa.olx.com.br/regiao-de-belem/imoveis/vende-se-casa-em-capanema-1491748216;120000;172.0;2;2;3;sim;prevalidacao;Amostra regional com link individual, 3 quartos, 2 banheiros, 1 vaga e área construída informada; boa evidência de mercado.
26 | São Miguel do Guamá | São Miguel do Guamá | Vendo Casa no Guamá - 3 quartos | https://pa.olx.com.br/regiao-de-belem/imoveis/vendo-casa-no-guama-1499171346;280000;270.0;2;2;2;sim;prevalidacao;Amostra regional com link individual, 3 quartos e 270 m²; manter ressalva por distância/mercado regional.
27 | Capitão Poço | Capitão Poço | Casa ampla, 2 quartos, sendo 1 suíte | https://pa.olx.com.br/regiao-de-belem/imoveis/casa-ampla-2-quartos-sendo-1-suite-em-capitao-poco-1507648073;210000;250.0;2;2;2;sim;prevalidacao;Amostra local com link individual; 2 quartos e 250 m²; manter no modelo por localização e preço aderente, com ressalva de 1 quarto a menos.
30 | Capanema | Centro / Almir Gabriel | Casa Capanema, Almir Gabriel | https://pa.olx.com.br/regiao-de-belem/imoveis/casa-capanema-almir-gabriel-1512812029;55000;180.0;2;1;1;sim;prevalidacao;Nova amostra real da OLX com 3 quartos, 1 banheiro, lote 9x20 o qe preço R$ 55.000; usar 180 m² apenas como área informada do lote enquanto não houver área construída explícita; confirmar por print/contato antes da versão final.
